46:20.2,1.42111E+12,GGG,gx,-0.20357762, gy,-0.18865593, gz,0.045831405
46:20.2,1.42111E+12,GGG,gx,-0.2280923, gy,-0.1513509, gz,-0.041568484
46:20.2,1.42111E+12,GGG,gx,-0.028778385, gy,-0.013856427, gz,-0.036239497
46:20.2,1.42111E+12,GGG,gx,0.10445291, gy,0.088465154, gz,0.03410684
46:20.3,1.42111E+12,GGG,gx,0.0948602, gy,0.11191402, gz,0.054358315
46:20.3,1.42111E+12,GGG,gx,-0.020251475, gy,0.02557993, gz,0.030909447
46:20.3,1.42111E+12,GGG,gx,-0.043700077, gy,-0.053292517, gz,-0.004263721
46:20.3,1.42111E+12,GGG,gx,0.008526376, gy,-0.01279063, gz,-0.02238307
46:20.3,1.42111E+12,GGG,gx,0.046897203, gy,0.056489907, gz,0.006394783
46:20.4,1.42111E+12,GGG,gx,0.035172634, gy,0.058621503, gz,0.047962997
46:20.4,1.42111E+12,GGG,gx,-0.003197924, gy,0.00959244, gz,0.03304104
46:20.4,1.42111E+12,GGG,gx,-0.015988022, gy,-0.04263428, gz,-0.004263721
46:20.4,1.42111E+12,GGG,gx,0.005328985, gy,-0.026646258, gz,-0.014922224
46:20.4,1.42111E+12,GGG,gx,0.028777853, gy,0.019185146, gz,0.001065797
46:20.5,1.42111E+12,GGG,gx,0.027712055, gy,0.037304495, gz,0.020250943
46:20.5,1.42111E+12,GGG,gx,0.022382537, gy,0.014921425, gz,0.019185146
46:20.5,1.42111E+12,GGG,gx,0.004263188, gy,0.00959244, gz,0.00959244
46:20.5,1.42111E+12,GGG,gx,0.012789832, gy,0.035172634, gz,0.012789832
46:20.5,1.42111E+12,GGG,gx,0.054358315, gy,0.075675055, gz,0.015987223
46:20.6,1.42111E+12,GGG,gx,0.06288496, gy,0.09699179, gz,0.020250943
46:20.6,1.42111E+12,GGG,gx,0.029843649, gy,0.071411334, gz,0.014921425
46:20.6,1.42111E+12,GGG,gx,0.022382537, gy,0.060753096, gz,-0.006395315
46:20.6,1.42111E+12,GGG,gx,0.031975243, gy,0.08420196, gz,-0.014922224
46:20.6,1.42111E+12,GGG,gx,0.028777853, gy,0.088465154, gz,0.003197391
46:20.7,1.42111E+12,GGG,gx,0.010658237, gy,0.07354346, gz,0.022382537
46:20.7,1.42111E+12,GGG,gx,0.020250943, gy,0.10445291, gz,0.008526376
46:20.7,1.42111E+12,GGG,gx,0.035172634, gy,0.119374864, gz,-0.00106633
46:20.7,1.42111E+12,GGG,gx,0.038370293, gy,0.09805759, gz,-0.020251475
46:20.7,1.42111E+12,GGG,gx,0.037304495, gy,0.11617721, gz,-0.045831937
46:20.8,1.42111E+12,GGG,gx,0.010658237, gy,0.12257226, gz,-0.031975776
46:20.8,1.42111E+12,GGG,gx,-0.006395315, gy,0.12470385, gz,-0.025580462
46:20.8,1.42111E+12,GGG,gx,0.030909447, gy,0.12683597, gz,-0.039436888
46:20.8,1.42111E+12,GGG,gx,0.07460926, gy,0.09912392, gz,-0.053292517
46:20.8,1.42111E+12,GGG,gx,0.040501885, gy,0.05542411, gz,-0.057556238
46:20.9,1.42111E+12,GGG,gx,-0.03090998, gy,0.037304495, gz,-0.054358847
46:20.9,1.42111E+12,GGG,gx,-0.021317273, gy,0.019185146, gz,-0.04263428
46:20.9,1.42111E+12,GGG,gx,0.049028795, gy,0.035172634, gz,-0.04796353
46:20.9,1.42111E+12,GGG,gx,0.041567683, gy,0.012789832, gz,-0.054358847
46:20.9,1.42111E+12,GGG,gx,-0.025580462, gy,-0.058622036, gz,-0.06075363
46:21.0,1.42111E+12,GGG,gx,-0.021317273, gy,-0.074609786, gz,-0.051160924
46:21.0,1.42111E+12,GGG,gx,0.123638056, gy,-0.054358847, gz,-0.027712587
46:21.0,1.42111E+12,GGG,gx,0.08313616, gy,0.1918528, gz,0.031975243
46:21.0,1.42111E+12,GGG,gx,-0.037305295, gy,-0.062885754, gz,0.047962997
46:21.0,1.42111E+12,GGG,gx,-0.10232185, gy,-0.07887298, gz,0.050094593
46:21.1,1.42111E+12,GGG,gx,-0.054358847, gy,-0.035173167, gz,0.070345536
46:21.1,1.42111E+12,GGG,gx,0.011724034, gy,0.02557993, gz,0.11511141
46:21.1,1.42111E+12,GGG,gx,0.028777853, gy,0.06821394, gz,0.12257226
46:21.1,1.42111E+12,GGG,gx,-0.025580462, gy,0.010658237, gz,0.12470385
46:21.1,1.42111E+12,GGG,gx,-0.06395155, gy,-0.067148946, gz,0.09805759
46:21.2,1.42111E+12,GGG,gx,-0.036239497, gy,-0.061819427, gz,0.057555705
46:21.2,1.42111E+12,GGG,gx,-0.025580462, gy,-0.029844182, gz,0.046897203
46:21.2,1.42111E+12,GGG,gx,-0.011724833, gy,-0.026646258, gz,0.06714814
46:21.2,1.42111E+12,GGG,gx,-0.004263721, gy,-0.03090998, gz,0.04369928
46:21.2,1.42111E+12,GGG,gx,-0.023448868, gy,-0.058622036, gz,-0.015988022
46:21.3,1.42111E+12,GGG,gx,-0.024514664, gy,-0.08633409, gz,-0.046897735
46:21.3,1.42111E+12,GGG,gx,-0.019185679, gy,-0.07141213, gz,-0.046897735
46:21.3,1.42111E+12,GGG,gx,-0.00106633, gy,-0.043700077, gz,-0.036239497
46:21.3,1.42111E+12,GGG,gx,0.001065797, gy,-0.035173167, gz,-0.045831937
46:21.3,1.42111E+12,GGG,gx,-0.014922224, gy,-0.05542464, gz,-0.049029328
46:21.4,1.42111E+12,GGG,gx,-0.004263721, gy,-0.08633409, gz,-0.040502686
46:21.4,1.42111E+12,GGG,gx,0.010658237, gy,-0.08953201, gz,-0.05542464
46:21.4,1.42111E+12,GGG,gx,-0.015988022, gy,-0.07780718, gz,-0.07034633
46:21.4,1.42111E+12,GGG,gx,-0.017053818, gy,-0.04796353, gz,-0.06608315
46:21.4,1.42111E+12,GGG,gx,0.013855628, gy,-0.035173167, gz,-0.045831937
46:21.5,1.42111E+12,GGG,gx,-0.007461112, gy,-0.06395155, gz,-0.035173167
46:21.5,1.42111E+12,GGG,gx,-0.05222672, gy,-0.12150726, gz,-0.050095126
